,age,salary,add_comp,overall_exp,job_exp,education,gender
20819,25-34,105092.0,4700.0,11 - 20 years,11 - 20 years,College degree,Woman
20820,45-54,128779.99999999999,33840.0,21 - 30 years,21 - 30 years,Master's degree,Woman
20821,25-34,78020.0,2820.0,5-7 years,5-7 years,College degree,Woman
20822,35-44,141000.0,21150.0,21 - 30 years,11 - 20 years,College degree,Man
20823,35-44,55460.0,0.0,11 - 20 years,1 year or less,College degree,Woman
20824,35-44,75200.0,4700.0,21 - 30 years,2 - 4 years,Some college,Woman
20825,35-44,113740.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20826,45-54,58280.0,0.0,31 - 40 years,21 - 30 years,Master's degree,Woman
20827,35-44,87420.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20828,18-24,32900.0,0.0,1 year or less,2 - 4 years,College degree,Non-binary
20829,25-34,53580.0,0.0,5-7 years,5-7 years,Some college,Woman
20830,45-54,152280.0,4512.0,21 - 30 years,21 - 30 years,Master's degree,Man
20831,18-24,72380.0,2350.0,2 - 4 years,2 - 4 years,College degree,Woman
20832,35-44,119380.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20833,35-44,94000.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
20834,35-44,188000.0,47000.0,11 - 20 years,5-7 years,Master's degree,Woman
20835,25-34,94047.0,9447.0,8 - 10 years,5-7 years,College degree,Woman
20836,25-34,166380.0,47000.0,11 - 20 years,11 - 20 years,College degree,Woman
20837,35-44,98700.0,94000.0,11 - 20 years,11 - 20 years,College degree,Woman
20838,25-34,206800.0,14100.0,11 - 20 years,5-7 years,College degree,Woman
20839,35-44,75200.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20840,45-54,84600.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
20841,25-34,55507.939999999995,0.0,11 - 20 years,5-7 years,Master's degree,Non-binary
20842,35-44,100580.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
20843,25-34,68693.31999999999,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20844,25-34,79900.0,1692.0,5-7 years,1 year or less,PhD,Woman
20845,35-44,61100.0,2820.0,11 - 20 years,11 - 20 years,College degree,Woman
20847,25-34,38540.0,0.0,5-7 years,5-7 years,College degree,Woman
20848,35-44,52437.899999999994,0.0,8 - 10 years,2 - 4 years,PhD,Woman
20849,45-54,86480.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
20850,25-34,62099.99999999999,10350.0,2 - 4 years,2 - 4 years,College degree,Woman
20851,25-34,4794.0,0.0,8 - 10 years,2 - 4 years,Some college,Woman
20852,35-44,108100.0,9400.0,11 - 20 years,11 - 20 years,College degree,Woman
20853,35-44,78396.0,2350.0,11 - 20 years,11 - 20 years,College degree,Man
20854,25-34,82720.0,0.0,8 - 10 years,5-7 years,College degree,Man
20855,25-34,75200.0,7520.0,11 - 20 years,5-7 years,College degree,Woman
20856,35-44,117970.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20857,35-44,91180.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20858,35-44,98700.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20859,35-44,69575.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Other or prefer not to answer
20860,35-44,141000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20861,25-34,94000.0,4700.0,2 - 4 years,2 - 4 years,Master's degree,Woman
20862,25-34,55199.99999999999,0.0,5-7 years,2 - 4 years,College degree,Woman
20863,25-34,75200.0,5264.0,8 - 10 years,1 year or less,Master's degree,Woman
20864,25-34,51700.0,11280.0,5-7 years,5-7 years,College degree,Woman
20865,25-34,67680.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20866,35-44,94000.0,4700.0,11 - 20 years,11 - 20 years,College degree,Woman
20867,35-44,93150.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Man
20868,25-34,52000.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Man
20869,25-34,52640.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
20870,35-44,68620.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20871,35-44,150400.0,15040.0,21 - 30 years,8 - 10 years,College degree,Man
20872,25-34,136300.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
20873,25-34,105580.79999999999,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
20874,25-34,58750.0,940.0,8 - 10 years,8 - 10 years,College degree,Woman
20875,18-24,30000.0,0.0,1 year or less,1 year or less,Some college,Woman
20876,35-44,103200.0,9000.0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Other or prefer not to answer
20877,35-44,108100.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20878,18-24,31960.0,0.0,1 year or less,1 year or less,College degree,Woman
20879,25-34,54990.0,470.0,11 - 20 years,11 - 20 years,College degree,Woman
20880,35-44,105280.0,0.0,11 - 20 years,5-7 years,Some college,Woman
20881,35-44,64389.99999999999,8930.0,11 - 20 years,5-7 years,College degree,Man
20882,35-44,83660.0,0.0,11 - 20 years,2 - 4 years,College degree,Non-binary
20883,25-34,87420.0,9400.0,2 - 4 years,2 - 4 years,College degree,Woman
20884,35-44,32900.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20885,35-44,94000.0,9400.0,11 - 20 years,8 - 10 years,College degree,Man
20886,65 or over,77592.0,0.0,31 - 40 years,31 - 40 years,PhD,Man
20887,45-54,94940.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
20888,35-44,111860.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Man
20889,45-54,133480.0,14100.0,21 - 30 years,21 - 30 years,College degree,Man
20890,25-34,112800.0,16920.0,2 - 4 years,2 - 4 years,College degree,Woman
20891,35-44,178600.0,65800.0,21 - 30 years,21 - 30 years,College degree,Man
20892,45-54,133480.0,14100.0,21 - 30 years,21 - 30 years,College degree,Man
20893,35-44,54509.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20894,25-34,105750.0,14100.0,5-7 years,5-7 years,College degree,Man
20895,25-34,75200.0,0.0,2 - 4 years,2 - 4 years,PhD,Woman
20896,35-44,49820.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20897,25-34,89300.0,1880.0,5-7 years,5-7 years,College degree,Woman
20898,35-44,41736.0,6298.0,11 - 20 years,2 - 4 years,College degree,Woman
20899,35-44,13160.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20900,25-34,70500.0,25380.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary
20901,45-54,120320.0,0.0,21 - 30 years,8 - 10 years,Master's degree,Man
20902,25-34,56400.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20903,35-44,82914.58,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20904,55-64,37600.0,0.0,2 - 4 years,5-7 years,Master's degree,Woman
20905,25-34,30501.12,940.0,8 - 10 years,5-7 years,College degree,Woman
20906,25-34,103400.0,1880.0,8 - 10 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
20907,25-34,40652.5,0.0,5-7 years,2 - 4 years,Master's degree,Woman
20908,25-34,90000.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
20909,25-34,47692.799999999996,0.0,5-7 years,5-7 years,College degree,Woman
20910,25-34,146640.0,0.0,8 - 10 years,1 year or less,College degree,Woman
20911,25-34,95000.0,20000.0,11 - 20 years,5-7 years,Master's degree,Man
20912,35-44,57752.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20913,35-44,65800.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
20914,25-34,183958.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
20915,35-44,67680.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20916,25-34,47000.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20917,25-34,62933.0,0.0,5-7 years,5-7 years,College degree,Woman
20918,25-34,79900.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
20919,25-34,77080.0,0.0,5-7 years,5-7 years,PhD,Woman
20920,25-34,35193.6,1880.0,2 - 4 years,1 year or less,Master's degree,Woman
20921,35-44,44850.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
20922,35-44,61100.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
20923,18-24,34567.56,470.0,1 year or less,1 year or less,College degree,Woman
20924,35-44,96078.34,14411.14,11 - 20 years,11 - 20 years,Some college,Woman
20925,35-44,75200.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20926,25-34,35193.6,1880.0,2 - 4 years,1 year or less,Master's degree,Woman
20927,25-34,33840.0,0.0,5-7 years,5-7 years,Master's degree,Man
20928,25-34,54520.0,282.0,5-7 years,5-7 years,College degree,Woman
20929,25-34,188000.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Man
20930,35-44,111860.0,21150.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20931,35-44,77080.0,2820.0,11 - 20 years,8 - 10 years,College degree,Woman
20932,35-44,135360.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
20933,25-34,80936.81999999999,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20934,35-44,79900.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary
20935,45-54,140060.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
20936,25-34,56700.799999999996,0.0,8 - 10 years,2 - 4 years,College degree,Woman
20937,35-44,54509.99999999999,0.0,11 - 20 years,8 - 10 years,Some college,Man
20938,25-34,93150.0,0.0,5-7 years,2 - 4 years,College degree,Man
20939,25-34,183300.0,0.0,11 - 20 years,2 - 4 years,PhD,Man
20940,35-44,75200.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
20941,25-34,38822.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20942,25-34,46530.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
20943,45-54,102460.0,14100.0,21 - 30 years,21 - 30 years,PhD,Woman
20944,35-44,159800.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
20945,35-44,225600.0,18800.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
20946,35-44,56400.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20947,25-34,195520.0,225.6,8 - 10 years,1 year or less,College degree,Woman
20948,35-44,112800.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20949,35-44,67680.0,0.0,11 - 20 years,5-7 years,College degree,Woman
20950,25-34,153690.0,6580.0,11 - 20 years,5-7 years,College degree,Woman
20951,35-44,164500.0,14100.0,11 - 20 years,5-7 years,Master's degree,Woman
20952,35-44,51700.0,940.0,5-7 years,2 - 4 years,College degree,Woman
20953,18-24,42036.799999999996,0.0,2 - 4 years,1 year or less,High School,Woman
20954,45-54,43014.399999999994,0.0,21 - 30 years,11 - 20 years,College degree,Non-binary
20955,45-54,155100.0,47000.0,11 - 20 years,5-7 years,PhD,Man
20956,45-54,225600.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
20957,45-54,129719.99999999999,25380.0,21 - 30 years,11 - 20 years,Some college,Woman
20958,35-44,58800.0,4992.0,11 - 20 years,11 - 20 years,College degree,Man
20959,25-34,103400.0,47000.0,8 - 10 years,1 year or less,College degree,Woman
20960,25-34,62980.0,1128.0,2 - 4 years,2 - 4 years,College degree,Woman
20961,35-44,109980.0,4700.0,8 - 10 years,5-7 years,Master's degree,Woman
20962,25-34,57340.0,0.0,5-7 years,1 year or less,College degree,Woman
20963,18-24,33840.0,235.0,2 - 4 years,2 - 4 years,College degree,Woman
20964,35-44,86480.0,0.0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
20965,35-44,157920.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
20966,25-34,169200.0,0.0,5-7 years,5-7 years,College degree,Man
20967,45-54,150400.0,7520.0,21 - 30 years,21 - 30 years,College degree,Woman
20968,18-24,47000.0,9400.0,5-7 years,2 - 4 years,College degree,Non-binary
20969,35-44,123140.0,940.0,21 - 30 years,21 - 30 years,College degree,Man
20970,35-44,112800.0,0.0,11 - 20 years,5-7 years,College degree,Woman
20971,25-34,35995.0,4600.0,5-7 years,5-7 years,College degree,Woman
20972,25-34,29328.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
20973,25-34,183300.0,65800.0,5-7 years,5-7 years,College degree,Woman
20974,25-34,94940.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20975,35-44,108100.0,0.0,11 - 20 years,5-7 years,College degree,Man
20976,25-34,99474.99999999999,11500.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
20977,35-44,57340.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20978,35-44,58800.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary
20979,18-24,30779.749999999996,0.0,1 year or less,1 year or less,College degree,Woman
20980,25-34,37600.0,0.0,2 - 4 years,1 year or less,College degree,Man
20981,25-34,109040.0,103400.0,5-7 years,5-7 years,College degree,Woman
20982,25-34,98700.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Man
20983,35-44,60160.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
20984,35-44,109980.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20985,35-44,42300.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
20986,45-54,142880.0,9400.0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
20987,45-54,103400.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20988,35-44,66740.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Other or prefer not to answer
20989,25-34,75200.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
20990,55-64,141000.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
20991,35-44,103400.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20992,35-44,77080.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20993,35-44,61728.85999999999,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20994,35-44,75900.0,8280.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20995,25-34,76046.0,4700.0,2 - 4 years,2 - 4 years,College degree,Woman
20996,25-34,79900.0,12690.0,2 - 4 years,1 year or less,Master's degree,Man
20997,25-34,123140.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
20998,35-44,79900.0,1128.0,11 - 20 years,11 - 20 years,College degree,Woman
20999,25-34,47000.0,940.0,8 - 10 years,5-7 years,Some college,Woman
21000,25-34,58580.799999999996,2350.0,5-7 years,2 - 4 years,College degree,Woman
21001,25-34,54854.99999999999,0.0,5-7 years,2 - 4 years,College degree,Man
21002,35-44,112800.0,16920.0,11 - 20 years,11 - 20 years,College degree,Woman
21004,25-34,66740.0,5640.0,8 - 10 years,8 - 10 years,College degree,Woman
21005,35-44,122200.0,8930.0,8 - 10 years,1 year or less,Master's degree,Woman
21006,35-44,159800.0,0.0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
21007,35-44,169200.0,18800.0,11 - 20 years,11 - 20 years,College degree,Woman
21008,25-34,122200.0,12220.0,8 - 10 years,5-7 years,College degree,Woman
21009,45-54,59220.0,0.0,31 - 40 years,5-7 years,College degree,Woman
21010,25-34,86480.0,8460.0,8 - 10 years,5-7 years,Master's degree,Woman
21011,45-54,126959.99999999999,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
21012,25-34,45120.0,1880.0,8 - 10 years,5-7 years,Some college,Woman
21013,25-34,131600.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
21014,25-34,45590.0,4700.0,8 - 10 years,5-7 years,Some college,Woman
21015,35-44,124080.0,23500.0,21 - 30 years,11 - 20 years,Master's degree,Woman
21016,35-44,71440.0,4700.0,11 - 20 years,5-7 years,Master's degree,Woman
21017,25-34,51700.0,1880.0,11 - 20 years,8 - 10 years,College degree,Woman
21018,25-34,329000.0,18800.0,2 - 4 years,2 - 4 years,College degree,Woman
21019,25-34,35880.0,0.0,11 - 20 years,8 - 10 years,Some college,Woman
21020,25-34,30382.999999999996,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
21021,35-44,126900.0,14100.0,11 - 20 years,11 - 20 years,College degree,Woman
21022,35-44,102460.0,4700.0,8 - 10 years,8 - 10 years,Master's degree,Man
21023,35-44,46060.0,0.0,8 - 10 years,11 - 20 years,College degree,Woman
21024,25-34,50760.0,0.0,5-7 years,5-7 years,College degree,Woman
21025,25-34,33600.0,0.0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man
21026,35-44,188000.0,42300.0,11 - 20 years,11 - 20 years,Master's degree,Man
21027,35-44,79900.0,564.0,11 - 20 years,11 - 20 years,Master's degree,Woman
21028,35-44,43428.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
21030,25-34,53580.0,0.0,5-7 years,5-7 years,College degree,Man
21031,25-34,159800.0,28200.0,5-7 years,5-7 years,Master's degree,Woman
21032,45-54,70500.0,0.0,31 - 40 years,21 - 30 years,Some college,Woman
21033,55-64,61100.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
21034,25-34,94000.0,16450.0,11 - 20 years,11 - 20 years,Master's degree,Woman
21035,45-54,173900.0,0.0,21 - 30 years,21 - 30 years,PhD,Woman
21037,25-34,42522.78,0.0,5-7 years,2 - 4 years,Master's degree,Man
21038,45-54,39480.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
21039,55-64,47000.0,0.0,31 - 40 years,5-7 years,College degree,Woman
21040,35-44,47000.0,4700.0,8 - 10 years,2 - 4 years,Master's degree,Woman
21041,45-54,113849.99999999999,69000.0,21 - 30 years,21 - 30 years,College degree,Man
21042,25-34,70500.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
21043,25-34,63920.0,0.0,11 - 20 years,5-7 years,College degree,Woman
21044,35-44,68620.0,2350.0,11 - 20 years,11 - 20 years,High School,Woman
21045,35-44,76140.0,1880.0,11 - 20 years,8 - 10 years,Master's degree,Woman
21046,35-44,66740.0,1410.0,11 - 20 years,8 - 10 years,Master's degree,Woman
21047,25-34,184240.0,0.0,8 - 10 years,8 - 10 years,High School,Man
21048,35-44,188000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
21049,25-34,65.8,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
21050,25-34,50572.0,1880.0,5-7 years,2 - 4 years,College degree,Woman
21051,35-44,175767.78,35153.18,11 - 20 years,11 - 20 years,Some college,Man
21052,35-44,56400.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
21053,35-44,35880.0,690.0,11 - 20 years,5-7 years,College degree,Woman
21054,25-34,48880.0,0.0,5-7 years,2 - 4 years,Master's degree,Non-binary
21055,35-44,59220.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
21056,25-34,148896.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
21057,35-44,98700.0,5170.0,21 - 30 years,5-7 years,Master's degree,Man
21058,35-44,105280.0,9400.0,8 - 10 years,8 - 10 years,PhD,Non-binary
21059,25-34,125020.0,56400.0,2 - 4 years,2 - 4 years,College degree,Woman
21060,35-44,99640.0,3760.0,21 - 30 years,8 - 10 years,Some college,Man
21061,35-44,56400.0,2256.0,8 - 10 years,8 - 10 years,High School,Woman
21062,35-44,140060.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
21063,25-34,53580.0,1880.0,5-7 years,2 - 4 years,College degree,Woman
21064,25-34,54990.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
21065,25-34,96000.0,4200.0,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer
21066,25-34,50760.0,940.0,2 - 4 years,2 - 4 years,College degree,Woman
21067,35-44,87420.0,5640.0,21 - 30 years,11 - 20 years,College degree,Woman
21068,25-34,76892.0,7614.0,5-7 years,5-7 years,Master's degree,Woman
21069,55-64,161680.0,14100.0,31 - 40 years,8 - 10 years,Master's degree,Man
21070,25-34,28200.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
21071,25-34,66740.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
21072,25-34,52640.0,1880.0,8 - 10 years,5-7 years,College degree,Woman
21073,55-64,67680.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
21074,35-44,58750.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
21075,45-54,206800.0,940.0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
21076,35-44,79900.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
21077,25-34,56400.0,11280.0,1 year or less,1 year or less,College degree,Woman
21078,25-34,39480.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
21079,45-54,113740.0,18800.0,21 - 30 years,21 - 30 years,College degree,Man
21080,18-24,92053.26,7050.0,2 - 4 years,2 - 4 years,College degree,Woman
21082,35-44,145700.0,11280.0,11 - 20 years,11 - 20 years,Master's degree,Woman
21083,25-34,117500.0,5640.0,5-7 years,5-7 years,Master's degree,Woman
21084,35-44,79900.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
21085,35-44,126900.0,0.0,11 - 20 years,5-7 years,College degree,Man
21086,25-34,141000.0,37600.0,11 - 20 years,11 - 20 years,Master's degree,Man
21087,35-44,77080.0,0.0,11 - 20 years,11 - 20 years,Some college,Woman
21088,25-34,78960.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
21089,35-44,235940.0,1880.0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
21090,25-34,103400.0,4700.0,8 - 10 years,5-7 years,College degree,Woman
21091,35-44,166380.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
